CustomerId,Surname,Geography,CreditScore,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,ChurnRisk,Status,GenderT,CustomerType,AgeDemographics,Yes_No
15565701,Ferri,Spain,603,0,41,3,0,1,1,0,50456.45491,1,Not Active Customer,Female,High Risk,Middle Aged,Churned
15565779,Kent,Germany,666,1,35,2,104832.49,1,1,0,175015.12,0.01,Not Active Customer,Male,Retained,Middle Aged,Existing
15566091,Thomsen,Spain,628,1,30,8,89182.09,1,1,1,13126.9,0.02,Active Customer,Male,Retained,Middle Aged,Existing
15566111,Estes,France,762,0,51,3,99286.98,1,0,1,85578.63,0.75,Active Customer,Female,High Risk,Senior Citizens,Existing
15566156,Franklin,Germany,850,0,37,7,153147.75,1,1,1,152235.3,0,Active Customer,Female,Retained,Middle Aged,Existing
15566211,Hsu,Germany,598,0,40,2,171178.25,1,1,0,137980.58,0.98,Not Active Customer,Female,High Risk,Middle Aged,Churned
15566251,Ferrari,France,695,0,55,8,116041.04,2,0,0,157701.0929,1,Not Active Customer,Female,High Risk,Senior Citizens,Churned
15566292,Okwuadigbo,Spain,516,0,31,3,0,2,1,0,124202.26,0,Not Active Customer,Female,Retained,Middle Aged,Existing
15566494,Fang,France,526,0,53,1,156602.98,1,0,0,118632.6986,1,Not Active Customer,Female,High Risk,Senior Citizens,Churned
15566594,McKenzie,Spain,609,1,33,6,94126.67,1,0,0,93718.16,0.16,Not Active Customer,Male,Retained,Middle Aged,Existing
15566843,Gotch,Germany,558,0,44,4,0,2,0,0,5472.704966,0.86,Not Active Customer,Female,High Risk,Middle Aged,Existing
15566958,Li Fonti,Spain,714,1,52,4,100755.66,1,1,1,186775.25,0.4,Active Customer,Male,Retained,Senior Citizens,Existing
15567367,Tao,Germany,739,0,40,3,92843.21,1,0,0,73457.54689,0.99,Not Active Customer,Female,High Risk,Middle Aged,Churned
15567399,Enderby,Germany,606,0,47,0,137138.2,2,0,1,53784.22,0.56,Active Customer,Female,Retained,Senior Citizens,Existing
15567422,Chiazagomekpele,France,493,0,33,8,90791.69,1,1,1,59659.53,0,Active Customer,Female,Retained,Middle Aged,Existing
15567446,Coffman,Germany,686,1,39,3,129626.19,2,1,1,103220.56,0.02,Active Customer,Male,Retained,Middle Aged,Existing
15567832,Shih,France,646,0,30,10,100548.67,2,0,0,136983.77,0.05,Not Active Customer,Female,Retained,Middle Aged,Existing
15567980,Frater,Germany,523,0,39,1,143903.11,1,1,1,118711.75,0.91,Active Customer,Female,High Risk,Middle Aged,Existing
15567993,Palmer,Spain,385,0,47,7,95786.14,1,0,0,137702.1935,1,Not Active Customer,Female,High Risk,Senior Citizens,Churned
15568025,Hsueh,France,597,0,24,5,101521.49,1,1,0,71462.05115,0.94,Not Active Customer,Female,High Risk,Young Dependant,Existing
15568106,L?,France,672,0,23,10,110741.56,1,1,0,80778.5,0.36,Not Active Customer,Female,Retained,Young Dependant,Existing
15568240,Ting,Germany,670,0,29,9,0,2,1,0,27359.19,0.03,Not Active Customer,Female,Retained,Middle Aged,Existing
15568360,Rolon,Spain,763,1,37,8,0,2,1,1,933.38,0,Active Customer,Male,Retained,Middle Aged,Existing
15568506,Forbes,Germany,624,0,36,0,0,2,1,0,111605.9,0.07,Not Active Customer,Female,Retained,Middle Aged,Existing
15568595,Fleming,France,580,0,43,1,132539.19,1,1,0,106119.4374,0.98,Not Active Customer,Female,High Risk,Middle Aged,Churned
15568748,Poole,Germany,841,0,33,7,154969.79,2,1,1,99505.75,0.01,Active Customer,Female,Retained,Middle Aged,Existing
